city,state,natural_hs,natural_college,foreign_hs,foreign_college
Vista,California,0.93,0.23,0.44,0.25
West Covina,California,0.9,0.22,0.75,0.42
Westminster,California,0.91,0.25,0.65,0.29
Whittier,California,0.9,0.27,0.63,0.26
Arvada,Colorado,0.95,0.37,0.8,0.42
Aurora,Colorado,0.94,0.3,0.64,0.27
Boulder,Colorado,0.98,0.73,0.8,0.73
Centennial,Colorado,0.98,0.54,0.92,0.56
Colorado Springs,Colorado,0.95,0.38,0.75,0.34
Fort Collins,Colorado,0.97,0.51,0.84,0.63
Greeley,Colorado,0.91,0.29,0.47,0.17
Highlands Ranch,Colorado,0.99,0.62,0.95,0.68
Lakewood,Colorado,0.94,0.37,0.68,0.39
Longmont,Colorado,0.94,0.4,0.58,0.4
Pueblo,Colorado,0.87,0.2,0.58,0.19
Thornton,Colorado,0.91,0.28,0.65,0.27
Westminster,Colorado,0.94,0.36,0.66,0.37
Bridgeport,Connecticut,0.85,0.2,0.67,0.23
Danbury,Connecticut,0.94,0.39,0.66,0.28
Hartford,Connecticut,0.8,0.18,0.7,0.25
New Haven,Connecticut,0.87,0.34,0.76,0.58
Norwalk,Connecticut,0.95,0.46,0.77,0.41
Stamford,Connecticut,0.95,0.55,0.77,0.45
Waterbury,Connecticut,0.86,0.18,0.7,0.18
Alafaya,Florida,0.98,0.48,0.87,0.39
Boca Raton,Florida,0.98,0.54,0.89,0.51
Brandon,Florida,0.93,0.27,0.88,0.36
Cape Coral,Florida,0.93,0.21,0.8,0.24
Clearwater,Florida,0.91,0.29,0.77,0.31
Coral Springs,Florida,0.95,0.37,0.87,0.37
Davie,Florida,0.94,0.34,0.86,0.37
Deerfield Beach,Florida,0.91,0.27,0.77,0.24
Deltona,Florida,0.9,0.15,0.76,0.21
Fort Lauderdale,Florida,0.89,0.37,0.74,0.35
Gainesville,Florida,0.91,0.39,0.92,0.66
Hialeah,Florida,0.86,0.17,0.69,0.19
Hollywood,Florida,0.91,0.3,0.82,0.29
Kendall,Florida,0.97,0.51,0.84,0.47
Lakeland,Florida,0.9,0.25,0.75,0.36
Largo,Florida,0.9,0.2,0.79,0.26
